Entity,Code_x,Year,"Youth literacy rate, population 15-24 years, female (%), LR.AG15T24.F","Youth literacy rate, population 15-24 years, male (%), LR.AG15T24.M",Average Youth Literacy Rate,Combined Youth Literacy Rate (%),iso3c,gni_per_capita,learning_poverty,unicef_total_closed,internet_users,EG.ELC.ACCS.ZS,population
Afghanistan,AFG,2021,41.59,71.24,56.42,56.42,AFG,500.0,93.45,240.0,18.4,97.7,38972230.0
Albania,ALB,2022,99.9,99.1,99.5,99.5,ALB,5260.0,16.48,99.0,72.24,100.0,2837849.0
Algeria,DZA,2019,84.16,64.79,74.47,74.47,DZA,3600.0,67.9,115.0,62.9,99.8,43451666.0
Argentina,ARG,2001,99.13,98.71,98.92,98.92,ARG,9010.0,59.15,260.0,85.5,100.0,45376763.0
Armenia,ARM,2020,99.9,99.85,99.87,99.87,ARM,4470.0,27.24,53.0,76.51,100.0,2805608.0
Azerbaijan,AZE,2023,99.88,99.88,99.88,99.88,AZE,4480.0,23.28,196.0,84.6,100.0,10093121.0
Bahrain,BHR,2022,98.95,99.38,99.17,99.17,BHR,22950.0,32.09,276.0,99.67,100.0,1477469.0
Bangladesh,BGD,2021,95.86,93.76,94.81,94.81,BGD,2300.0,58.22,376.0,24.8,96.2,167420951.0
Belize,BLZ,2001,88.3,86.2,87.25,87.25,BLZ,5210.0,76.41,292.0,50.8,97.11,394921.0
Benin,BEN,2022,59.1,73.6,66.35,66.35,BEN,1230.0,55.78,48.0,25.8,41.41,12643123.0
Botswana,BWA,2013,99.14,95.75,97.45,97.45,BWA,6010.0,50.84,104.0,64.0,71.99,2546402.0
Brazil,BRA,2022,99.56,99.01,99.28,99.28,BRA,7820.0,46.9,293.0,81.34,100.0,213196304.0
Bulgaria,BGR,2021,97.83,98.27,98.05,98.05,BGR,9520.0,15.2,164.0,70.16,99.7,6934015.0
Burkina Faso,BFA,2022,51.68,55.56,53.62,53.62,BFA,750.0,73.86,64.0,22.0,18.96,21522626.0
Burundi,BDI,2022,93.16,93.97,93.56,93.56,BDI,220.0,95.82,0.0,9.4,11.74,12220227.0
Cambodia,KHM,2022,96.51,95.44,95.98,95.98,KHM,1530.0,90.0,296.0,32.9,86.4,16396860.0
Cameroon,CMR,2020,83.83,88.63,86.23,86.23,CMR,1520.0,71.93,66.0,37.8,64.72,26491087.0
Chad,TCD,2022,30.64,41.39,36.02,36.02,TCD,630.0,94.41,128.0,10.4,11.08,16644701.0
Chile,CHL,2022,99.48,99.14,99.31,99.31,CHL,12990.0,27.19,207.0,88.3,100.0,19300315.0
China,CHN,2020,99.76,99.75,99.76,99.76,CHN,10520.0,18.2,98.0,70.05,100.0,1411100000.0
Colombia,COL,2022,99.2,98.64,98.92,98.92,COL,5820.0,51.36,250.0,69.79,100.0,50930662.0
Comoros,COM,2022,83.1,80.95,82.02,82.02,COM,1520.0,86.02,160.0,8.48,86.74,806166.0
Congo,COG,2021,79.5,85.19,82.34,82.34,COG,1760.0,70.01,123.0,8.65,49.52,5702174.0
Costa Rica,CRI,2021,99.61,99.46,99.54,99.54,CRI,11520.0,34.02,314.0,80.53,99.9,5123105.0
Cote d'Ivoire,CIV,2019,76.41,92.82,84.62,84.62,CIV,2240.0,82.62,50.0,36.29,69.68,26811790.0
Croatia,HRV,2021,99.78,99.75,99.76,99.76,HRV,14820.0,4.46,45.0,78.32,100.0,4047680.0
Cyprus,CYP,2021,99.91,99.89,99.9,99.9,CYP,26600.0,9.94,100.0,90.8,100.0,1237537.0
Democratic Republic of Congo,COD,2022,85.41,90.79,88.1,88.1,COD,540.0,96.6,142.0,13.6,19.1,92853164.0
Dominican Republic,DOM,2022,98.91,98.14,98.52,98.52,DOM,7170.0,77.72,222.0,76.9,100.0,10999664.0
Ecuador,ECU,2022,96.67,96.1,96.38,96.38,ECU,5560.0,65.94,328.0,70.7,98.85,17588595.0
Egypt,EGY,2022,91.74,92.72,92.23,92.23,EGY,2860.0,69.57,91.0,71.91,100.0,107465134.0
El Salvador,SLV,2022,98.57,97.96,98.26,98.26,SLV,3740.0,69.07,336.0,54.6,100.0,6292731.0
Ethiopia,ETH,2017,71.97,73.52,72.75,72.75,ETH,880.0,90.39,209.0,24.0,51.09,117190911.0
Gabon,GAB,2022,92.63,88.66,90.64,90.64,GAB,6830.0,30.68,94.0,62.0,91.57,2292573.0
Georgia,GEO,2022,99.89,99.51,99.7,99.7,GEO,4260.0,15.29,134.0,72.53,100.0,3722716.0
Greece,GRC,2009,99.47,99.51,99.49,99.49,GRC,17960.0,7.69,138.0,78.12,100.0,10698599.0
Guatemala,GTM,2022,95.86,96.41,96.14,96.14,GTM,4490.0,78.52,298.0,49.97,97.06,16858333.0
Guinea,GIN,2021,49.09,71.33,60.21,60.21,GIN,960.0,82.67,109.0,26.0,44.67,13205153.0
Honduras,HND,2019,97.29,94.84,96.06,96.06,HND,2150.0,79.29,392.0,42.05,93.21,10121763.0
Hungary,HUN,2021,98.9,98.5,98.7,98.7,HUN,16030.0,5.9,148.0,84.77,100.0,9750149.0
India,IND,2022,95.54,97.44,96.49,96.49,IND,1890.0,56.07,296.0,43.0,99.0,1396387127.0
Indonesia,IDN,2020,99.78,99.78,99.78,99.78,IDN,3900.0,52.82,282.0,53.73,96.95,271857970.0
Iran,IRN,2022,98.93,98.69,98.81,98.81,IRN,3290.0,35.24,250.0,75.57,100.0,87290193.0
Israel,ISR,1983,98.05,99.05,98.55,98.55,ISR,43310.0,11.66,121.0,90.13,100.0,9215100.0
Italy,ITA,2019,99.93,99.83,99.88,99.88,ITA,32410.0,4.39,128.0,70.48,100.0,59438851.0
Jordan,JOR,2021,99.56,99.27,99.42,99.42,JOR,4070.0,62.55,246.0,65.2,99.9,10928721.0
Kazakhstan,KAZ,2020,99.9,100.0,99.95,99.95,KAZ,8710.0,2.19,154.0,85.94,100.0,18755666.0
Kyrgyzstan,KGZ,2019,99.8,99.7,99.75,99.75,KGZ,1180.0,64.49,104.0,72.0,99.98,6579900.0
Laos,LAO,2022,93.54,95.44,94.49,94.49,LAO,2470.0,97.72,195.0,54.0,100.0,7319399.0
Latvia,LVA,2021,99.86,99.77,99.82,99.82,LVA,18240.0,3.98,160.0,88.9,100.0,1900449.0
Lesotho,LSO,2022,95.59,83.81,89.7,89.7,LSO,1150.0,97.01,134.0,43.0,47.35,2254100.0
Lithuania,LTU,2021,99.95,99.94,99.94,99.94,LTU,19680.0,2.98,120.0,83.06,100.0,2794885.0
Madagascar,MDG,2022,80.66,80.81,80.74,80.74,MDG,460.0,93.94,94.0,15.0,33.74,28225177.0
Malaysia,MYS,1991,95.22,95.91,95.56,95.56,MYS,10320.0,42.03,280.0,89.56,100.0,33199993.0
Mali,MLI,2020,38.45,55.23,46.84,46.84,MLI,790.0,90.44,72.0,27.4,50.56,21224040.0
Malta,MLT,2021,99.63,99.29,99.46,99.46,MLT,26440.0,27.96,97.0,86.86,100.0,515332.0
Mauritania,MRT,2021,75.03,77.92,76.47,76.47,MRT,1790.0,94.77,118.0,40.8,47.35,4498604.0
Mauritius,MUS,2021,99.58,99.04,99.31,99.31,MUS,9940.0,40.46,123.0,64.88,99.66,1265740.0
Mexico,MEX,2022,99.17,98.74,98.96,98.96,MEX,8750.0,47.63,338.0,71.97,99.4,125998302.0
Moldova,MDA,2021,99.7,99.7,99.7,99.7,MDA,4490.0,11.01,80.0,76.12,100.0,2635130.0
Mongolia,MNG,2020,99.23,98.93,99.08,99.08,MNG,3720.0,39.46,209.0,62.5,98.1,3294335.0
Montenegro,MNE,2021,98.91,99.17,99.04,99.04,MNE,7900.0,27.1,188.0,77.61,100.0,621306.0
Morocco,MAR,2022,98.41,98.62,98.52,98.52,MAR,3250.0,64.9,138.0,84.12,100.0,36688772.0
Myanmar,MMR,2019,95.55,95.27,95.41,95.41,MMR,1370.0,89.47,345.0,35.1,70.4,53423198.0
Nicaragua,NIC,2015,93.6,89.64,91.62,91.62,NIC,1740.0,78.9,38.0,45.2,88.91,6755895.0
Niger,NER,2022,40.36,55.8,48.08,48.08,NER,550.0,90.44,83.0,10.22,19.25,24333639.0
North Macedonia,MKD,2012,98.5,98.8,98.65,98.65,MKD,5730.0,40.86,186.0,81.41,100.0,2072531.0
Oman,OMN,2022,99.68,99.65,99.66,99.66,OMN,17110.0,41.76,186.0,95.23,100.0,4543399.0
Pakistan,PAK,2019,65.19,79.73,72.46,72.46,PAK,1420.0,76.98,244.0,25.0,75.38,227196741.0
Panama,PAN,2022,99.3,99.38,99.34,99.34,PAN,12470.0,78.51,358.0,64.25,96.7,4294396.0
Paraguay,PRY,2022,99.28,98.88,99.08,99.08,PRY,5550.0,77.74,262.0,73.96,100.0,6618695.0
Peru,PER,2022,99.29,99.31,99.3,99.3,PER,6000.0,44.44,280.0,65.25,99.31,33304756.0
Philippines,PHL,2020,99.33,99.11,99.22,99.22,PHL,3350.0,90.91,380.0,49.8,96.84,112190977.0
Poland,POL,2021,99.9,99.8,99.85,99.85,POL,15300.0,4.78,176.0,83.18,100.0,37899070.0
Portugal,PRT,2021,99.75,99.68,99.72,99.72,PRT,21850.0,6.02,90.0,78.26,100.0,10297081.0
Qatar,QAT,2014,99.65,98.38,99.01,99.01,QAT,58370.0,35.65,212.0,99.65,100.0,2760385.0
Romania,ROU,2021,99.94,99.94,99.94,99.94,ROU,12700.0,17.86,146.0,78.46,100.0,19265250.0
Russia,RUS,2021,99.93,99.91,99.92,99.92,RUS,10740.0,3.53,48.0,84.99,100.0,144073139.0
Saudi Arabia,SAU,2020,99.45,99.55,99.5,99.5,SAU,21540.0,38.22,296.0,97.86,100.0,35997107.0
Senegal,SEN,2022,75.22,81.01,78.12,78.12,SEN,1460.0,68.57,86.0,42.6,70.37,16436120.0
Serbia,SRB,2019,100.0,100.0,100.0,100.0,SRB,7440.0,9.84,194.0,78.37,100.0,6899126.0
Singapore,SGP,2021,99.91,99.87,99.89,99.89,SGP,55010.0,2.76,52.0,92.0,100.0,5685807.0
Slovenia,SVN,2001,99.9,99.8,99.85,99.85,SVN,25400.0,5.43,170.0,86.6,100.0,2102419.0
South Africa,ZAF,2021,97.48,95.91,96.69,96.69,ZAF,6090.0,78.91,196.0,70.0,84.39,58801927.0
South Korea,KOR,2018,100.0,99.9,99.95,99.95,KOR,33040.0,3.23,228.0,96.51,100.0,51836239.0
Spain,ESP,2020,99.76,99.49,99.62,99.62,ESP,27130.0,4.54,62.0,93.21,100.0,47365655.0
Sri Lanka,LKA,2022,99.32,98.28,98.8,98.8,LKA,3930.0,14.81,309.0,35.0,100.0,21919000.0
Thailand,THA,2021,99.1,98.4,98.75,98.75,THA,6900.0,23.42,218.0,77.84,100.0,71475664.0
Togo,TGO,2019,84.01,92.08,88.04,88.04,TGO,900.0,81.66,60.0,24.0,54.0,8442580.0
Trinidad and Tobago,TTO,2000,99.4,99.44,99.42,99.42,TTO,13830.0,20.64,248.0,70.6,100.0,1518147.0
Tunisia,TUN,2019,96.5,97.15,96.82,96.82,TUN,3230.0,65.53,134.0,71.9,100.0,12161723.0
Turkey,TUR,2019,99.85,99.96,99.91,99.91,TUR,9070.0,14.5,194.0,77.67,100.0,84135428.0
Uganda,UGA,2022,93.02,90.64,91.83,91.83,UGA,740.0,81.92,388.0,6.1,42.07,44404611.0
Ukraine,UKR,2021,100.0,99.8,99.9,99.9,UKR,3570.0,27.88,122.0,75.04,100.0,44132049.0
United Arab Emirates,ARE,2022,99.56,99.74,99.65,99.65,ARE,41770.0,32.83,208.0,100.0,100.0,9287289.0
Uruguay,URY,2022,99.38,98.9,99.14,99.14,URY,15950.0,43.62,126.0,86.1,100.0,3429086.0
Vietnam,VNM,2022,99.14,98.96,99.05,99.05,VNM,3450.0,18.12,132.0,70.3,100.0,96648685.0
Zambia,ZMB,2020,92.8,93.5,93.15,93.15,ZMB,1130.0,98.5,106.0,19.8,44.52,18927715.0
