Entity,Code_x,Year,"Youth literacy rate, population 15-24 years, female (%), LR.AG15T24.F","Youth literacy rate, population 15-24 years, male (%), LR.AG15T24.M",Average Youth Literacy Rate,Combined Youth Literacy Rate (%)
Afghanistan,AFG,2021,41.59,71.24,56.42,56.42
Albania,ALB,2022,99.9,99.1,99.5,99.5
Algeria,DZA,2019,84.16,64.79,74.47,74.47
American Samoa,ASM,1980,97.44,97.89,97.67,97.67
Angola,AGO,2022,80.7,85.9,83.3,83.3
Anguilla,AIA,1994,99.1,99.12,99.11,99.11
Argentina,ARG,2001,99.13,98.71,98.92,98.92
Armenia,ARM,2020,99.9,99.85,99.87,99.87
Aruba,ABW,2020,99.41,99.63,99.52,99.52
Azerbaijan,AZE,2023,99.88,99.88,99.88,99.88
Bahrain,BHR,2022,98.95,99.38,99.17,99.17
Bangladesh,BGD,2021,95.86,93.76,94.81,94.81
Barbados,BRB,2012,100.0,100.0,100.0,100.0
Belarus,BLR,2019,99.9,99.85,99.87,99.87
Belize,BLZ,2001,88.3,86.2,87.25,87.25
Benin,BEN,2022,59.1,73.6,66.35,66.35
Bhutan,BTN,2022,98.0,98.0,98.0,98.0
Bolivia,BOL,2021,99.54,99.5,99.52,99.52
Bosnia and Herzegovina,BIH,2022,99.7,99.7,99.7,99.7
Botswana,BWA,2013,99.14,95.75,97.45,97.45
Brazil,BRA,2022,99.56,99.01,99.28,99.28
Brunei,BRN,2021,99.83,99.71,99.77,99.77
Bulgaria,BGR,2021,97.83,98.27,98.05,98.05
Burkina Faso,BFA,2022,51.68,55.56,53.62,53.62
Burundi,BDI,2022,93.16,93.97,93.56,93.56
Cambodia,KHM,2022,96.51,95.44,95.98,95.98
Cameroon,CMR,2020,83.83,88.63,86.23,86.23
Cape Verde,CPV,2022,99.25,98.25,98.75,98.75
Cayman Islands,CYM,2017,98.62,99.14,98.88,98.88
Central African Republic,CAF,2020,29.11,47.55,38.33,38.33
Central and Southern Asia (SDG),,2022,91.41,94.71,93.06,93.06
Chad,TCD,2022,30.64,41.39,36.02,36.02
Chile,CHL,2022,99.48,99.14,99.31,99.31
China,CHN,2020,99.76,99.75,99.76,99.76
Colombia,COL,2022,99.2,98.64,98.92,98.92
Comoros,COM,2022,83.1,80.95,82.02,82.02
Congo,COG,2021,79.5,85.19,82.34,82.34
Costa Rica,CRI,2021,99.61,99.46,99.54,99.54
Cote d'Ivoire,CIV,2019,76.41,92.82,84.62,84.62
Croatia,HRV,2021,99.78,99.75,99.76,99.76
Cuba,CUB,2021,99.9,99.86,99.88,99.88
Cyprus,CYP,2021,99.91,99.89,99.9,99.9
Democratic Republic of Congo,COD,2022,85.41,90.79,88.1,88.1
Dominican Republic,DOM,2022,98.91,98.14,98.52,98.52
East Asia and Pacific (WB),,2022,99.14,98.96,99.05,99.05
East Timor,TLS,2020,86.6,83.7,85.15,85.15
Eastern and South-Eastern Asia (SDG),,2022,99.4,99.28,99.34,99.34
Ecuador,ECU,2022,96.67,96.1,96.38,96.38
Egypt,EGY,2022,91.74,92.72,92.23,92.23
El Salvador,SLV,2022,98.57,97.96,98.26,98.26
Equatorial Guinea,GNQ,2010,98.3,97.69,97.99,97.99
Eritrea,ERI,2018,92.71,93.82,93.27,93.27
Estonia,EST,2021,99.99,99.98,99.98,99.98
Eswatini,SWZ,2020,97.08,94.76,95.92,95.92
Ethiopia,ETH,2017,71.97,73.52,72.75,72.75
Europe and Central Asia (WB),,2022,99.74,99.74,99.74,99.74
Europe and Northern America (SDG),,2022,99.63,99.66,99.64,99.64
Fiji,FJI,2021,99.12,96.11,97.61,97.61
Gabon,GAB,2022,92.63,88.66,90.64,90.64
Gambia,GMB,2022,79.86,69.64,74.75,74.75
Georgia,GEO,2022,99.89,99.51,99.7,99.7
Ghana,GHA,2020,93.36,93.59,93.48,93.48
Greece,GRC,2009,99.47,99.51,99.49,99.49
Grenada,GRD,1980,99.4,98.9,99.15,99.15
Guadeloupe,GLP,1992,99.6,99.46,99.53,99.53
Guam,GUM,2000,99.93,99.96,99.94,99.94
Guatemala,GTM,2022,95.86,96.41,96.14,96.14
Guinea,GIN,2021,49.09,71.33,60.21,60.21
Guinea-Bissau,GNB,2022,62.55,75.28,68.91,68.91
Guyana,GUY,2022,98.21,97.61,97.91,97.91
Haiti,HTI,2016,82.63,83.35,82.99,82.99
Honduras,HND,2019,97.29,94.84,96.06,96.06
Hungary,HUN,2021,98.9,98.5,98.7,98.7
India,IND,2022,95.54,97.44,96.49,96.49
Indonesia,IDN,2020,99.78,99.78,99.78,99.78
Iran,IRN,2022,98.93,98.69,98.81,98.81
Iraq,IRQ,2017,92.1,94.9,93.5,93.5
Israel,ISR,1983,98.05,99.05,98.55,98.55
Italy,ITA,2019,99.93,99.83,99.88,99.88
Jamaica,JAM,1999,96.3,87.31,91.8,91.8
Jordan,JOR,2021,99.56,99.27,99.42,99.42
Kazakhstan,KAZ,2020,99.9,100.0,99.95,99.95
Kenya,KEN,2022,89.78,88.23,89.0,89.0
Kuwait,KWT,2020,99.58,99.1,99.34,99.34
Kyrgyzstan,KGZ,2019,99.8,99.7,99.75,99.75
Laos,LAO,2022,93.54,95.44,94.49,94.49
Latin America & Caribbean (WB),,2022,98.77,98.43,98.6,98.6
Latin America and the Caribbean (SDG),,2022,98.77,98.43,98.6,98.6
Latvia,LVA,2021,99.86,99.77,99.82,99.82
Lebanon,LBN,2018,95.6,97.9,96.75,96.75
Lesotho,LSO,2022,95.59,83.81,89.7,89.7
Liberia,LBR,2019,71.85,86.23,79.04,79.04
Libya,LBY,1994,96.3,99.42,97.86,97.86
Lithuania,LTU,2021,99.95,99.94,99.94,99.94
Low income countries,,2022,71.28,77.6,74.44,74.44
Lower-middle income countries,,2022,90.2,93.4,91.8,91.8
Macao,MAC,2021,99.96,99.62,99.79,99.79
Madagascar,MDG,2022,80.66,80.81,80.74,80.74
Malawi,MWI,2022,79.83,73.66,76.74,76.74
Malaysia,MYS,1991,95.22,95.91,95.56,95.56
Maldives,MDV,2021,99.32,99.51,99.42,99.42
Mali,MLI,2020,38.45,55.23,46.84,46.84
Malta,MLT,2021,99.63,99.29,99.46,99.46
Marshall Islands,MHL,2011,98.76,98.17,98.46,98.46
Martinique,MTQ,1992,99.2,99.6,99.4,99.4
Mauritania,MRT,2021,75.03,77.92,76.47,76.47
Mauritius,MUS,2021,99.58,99.04,99.31,99.31
Mexico,MEX,2022,99.17,98.74,98.96,98.96
Middle East & North Africa (WB),,2022,88.65,92.63,90.64,90.64
Moldova,MDA,2021,99.7,99.7,99.7,99.7
Mongolia,MNG,2020,99.23,98.93,99.08,99.08
Montenegro,MNE,2021,98.91,99.17,99.04,99.04
Morocco,MAR,2022,98.41,98.62,98.52,98.52
Mozambique,MOZ,2020,64.51,76.46,70.48,70.48
Myanmar,MMR,2019,95.55,95.27,95.41,95.41
Namibia,NAM,2021,96.62,94.46,95.54,95.54
Nepal,NPL,2021,93.25,95.14,94.2,94.2
New Caledonia,NCL,2006,99.2,99.1,99.15,99.15
Nicaragua,NIC,2015,93.6,89.64,91.62,91.62
Niger,NER,2022,40.36,55.8,48.08,48.08
Nigeria,NGA,2018,68.26,81.58,74.92,74.92
North America (WB),,2022,99.56,99.66,99.61,99.61
North Korea,PRK,2018,100.0,100.0,100.0,100.0
North Macedonia,MKD,2012,98.5,98.8,98.65,98.65
Northern Africa and Western Asia (SDG),,2022,87.74,91.19,89.47,89.47
Oceania (excluding Australia and New Zealand) (SDG),,2021,76.17,70.16,73.17,73.17
Oman,OMN,2022,99.68,99.65,99.66,99.66
Pakistan,PAK,2019,65.19,79.73,72.46,72.46
Palau,PLW,2015,99.17,98.25,98.71,98.71
Palestine,PSE,2022,99.33,99.39,99.36,99.36
Panama,PAN,2022,99.3,99.38,99.34,99.34
Papua New Guinea,PNG,2010,71.4,64.57,67.98,67.98
Paraguay,PRY,2022,99.28,98.88,99.08,99.08
Peru,PER,2022,99.29,99.31,99.3,99.3
Philippines,PHL,2020,99.33,99.11,99.22,99.22
Poland,POL,2021,99.9,99.8,99.85,99.85
Portugal,PRT,2021,99.75,99.68,99.72,99.72
Puerto Rico,PRI,2021,92.4,92.4,92.4,92.4
Qatar,QAT,2014,99.65,98.38,99.01,99.01
Reunion,REU,1992,99.1,97.5,98.3,98.3
Romania,ROU,2021,99.94,99.94,99.94,99.94
Russia,RUS,2021,99.93,99.91,99.92,99.92
Rwanda,RWA,2022,92.37,87.51,89.94,89.94
Saint Helena,SHN,1998,100.0,98.59,99.3,99.3
Saint Lucia,LCA,2012,99.96,100.0,99.98,99.98
Saint Pierre and Miquelon,SPM,1982,99.44,99.47,99.45,99.45
Saint Vincent and the Grenadines,VCT,1980,98.8,98.5,98.65,98.65
Samoa,WSM,2021,99.4,98.8,99.1,99.1
San Marino,SMR,2022,100.0,100.0,100.0,100.0
Sao Tome and Principe,STP,2022,98.38,97.97,98.18,98.18
Saudi Arabia,SAU,2020,99.45,99.55,99.5,99.5
Senegal,SEN,2022,75.22,81.01,78.12,78.12
Serbia,SRB,2019,100.0,100.0,100.0,100.0
Seychelles,SYC,2020,99.6,98.5,99.05,99.05
Sierra Leone,SLE,2022,71.65,75.23,73.44,73.44
Singapore,SGP,2021,99.91,99.87,99.89,99.89
Slovenia,SVN,2001,99.9,99.8,99.85,99.85
Somalia,SOM,2022,64.65,76.3,70.47,70.47
South Africa,ZAF,2021,97.48,95.91,96.69,96.69
South Asia (WB),,2022,90.88,94.42,92.65,92.65
South Korea,KOR,2018,100.0,99.9,99.95,99.95
South Sudan,SSD,2018,47.37,48.43,47.9,47.9
Spain,ESP,2020,99.76,99.49,99.62,99.62
Sri Lanka,LKA,2022,99.32,98.28,98.8,98.8
Sub-Saharan Africa (SDG),,2022,75.92,81.27,78.59,78.59
Sub-Saharan Africa (WB),,2022,75.81,80.93,78.37,78.37
Sudan,SDN,2018,73.49,72.51,73.0,73.0
Suriname,SUR,2021,98.7,99.1,98.9,98.9
Syria,SYR,2021,98.44,98.35,98.39,98.39
Tajikistan,TJK,2017,97.74,100.0,98.87,98.87
Tanzania,TZA,2022,89.16,87.65,88.4,88.4
Thailand,THA,2021,99.1,98.4,98.75,98.75
Togo,TGO,2019,84.01,92.08,88.04,88.04
Tonga,TON,2021,99.5,99.3,99.4,99.4
Trinidad and Tobago,TTO,2000,99.4,99.44,99.42,99.42
Tunisia,TUN,2019,96.5,97.15,96.82,96.82
Turkey,TUR,2019,99.85,99.96,99.91,99.91
Turkmenistan,TKM,2005,99.9,99.8,99.85,99.85
Uganda,UGA,2022,93.02,90.64,91.83,91.83
Ukraine,UKR,2021,100.0,99.8,99.9,99.9
United Arab Emirates,ARE,2022,99.56,99.74,99.65,99.65
Upper-middle income countries,,2022,98.48,98.56,98.52,98.52
Uruguay,URY,2022,99.38,98.9,99.14,99.14
Uzbekistan,UZB,2022,100.0,100.0,100.0,100.0
Vanuatu,VUT,2021,97.2,96.6,96.9,96.9
Venezuela,VEN,2022,99.11,98.39,98.75,98.75
Vietnam,VNM,2022,99.14,98.96,99.05,99.05
World,OWID_WRL,2022,91.51,93.89,92.7,92.7
Yemen,YEM,2004,60.6,92.85,76.72,76.72
Zambia,ZMB,2020,92.8,93.5,93.15,93.15
Zimbabwe,ZWE,2022,94.7,86.75,90.72,90.72
